Port# , Lane# , PRE3 , PRE2 , PRE , MAIN , POST , POST2
66,5,0,0,-13,144,-4,0
66,6,0,0,-5,157,0,0
66,7,0,0,-19,129,-11,0
66,8,0,0,-32,136,0,0
67,1,0,0,-4,141,-4,0
67,2,0,0,0,142,0,0
67,3,0,0,0,161,0,0
67,4,0,0,-9,152,0,0
67,5,0,0,0,156,-9,0
67,6,0,0,-21,135,-4,0
67,7,0,0,-11,133,-11,0
67,8,0,0,0,126,0,0
68,1,0,0,-10,157,0,0
68,2,0,0,-5,153,-5,0
68,3,0,0,-19,130,-12,0
68,4,0,0,0,164,0,0
68,5,0,0,0,157,-5,0
68,6,0,0,-5,157,0,0
68,7,0,0,-21,136,-4,0
68,8,0,3,0,112,-3,0
69,1,0,0,-10,158,0,0
69,2,0,0,0,160,0,0
69,3,0,0,-5,152,-5,0
69,4,0,0,-17,139,-4,0
69,5,0,0,-20,138,-12,0
69,6,0,0,-5,158,-5,0
69,7,0,0,-18,128,-15,0
69,8,0,0,-8,147,-13,0
70,1,0,0,0,166,0,0
70,2,0,0,0,162,0,0
70,3,0,0,-5,157,0,0
70,4,0,0,-5,153,-5,0
70,5,0,0,0,166,0,0
70,6,0,0,-16,131,-8,0
70,7,0,0,0,149,-12,0
70,8,0,3,-19,118,-22,0
71,1,0,0,0,162,0,0
71,2,0,0,0,161,0,0
71,3,0,0,-5,157,0,0
71,4,0,0,-5,163,0,0
71,5,0,0,-27,138,0,0
71,6,0,0,-4,145,-19,0
71,7,0,0,-20,134,-8,0
71,8,0,7,-13,141,0,0
72,1,0,0,-14,144,0,0
72,2,0,0,-4,152,-13,0
72,3,0,5,-18,145,0,0
72,4,0,0,0,157,-5,0
72,5,0,0,-28,140,0,0
72,6,0,0,-4,140,-12,0
72,7,0,0,-26,129,0,0
72,8,0,0,-4,142,-15,0
73,1,0,0,-22,138,0,0
73,2,0,0,-3,86,0,0
73,3,0,0,-27,135,0,0
73,4,0,0,-14,147,0,0
73,5,0,0,-10,134,-24,0
73,6,0,0,-5,157,0,0
73,7,0,0,-24,145,0,0
73,8,0,0,-11,90,-3,0
74,1,0,0,-4,147,0,0
74,2,0,0,-21,136,-4,0
74,3,0,0,-11,132,-18,0
74,4,0,0,-9,152,0,0
74,5,0,0,-23,145,0,0
74,6,0,0,0,162,0,0
74,7,0,0,-13,135,0,0
74,8,0,0,-23,139,0,0
75,1,0,2,-28,119,0,0
75,2,0,2,-23,143,0,0
75,3,0,2,-14,126,-20,0
75,4,0,0,-8,144,-8,0
75,5,0,0,-11,132,-18,0
75,6,0,0,0,157,-5,0
75,7,0,5,-23,140,0,0
75,8,0,0,-13,147,-9,0
76,1,0,0,-14,153,0,0
76,2,0,0,0,149,-8,0
76,3,0,0,-4,148,-8,0
76,4,0,0,0,168,0,0
76,5,0,0,-15,136,-15,0
76,6,0,0,0,163,-5,0
76,7,0,0,-17,140,-4,0
76,8,0,0,-21,138,-8,0
77,1,0,0,-20,124,-23,0
77,2,0,0,-4,147,-8,0
77,3,0,0,-18,128,-15,0
77,4,0,0,0,163,-5,0
77,5,0,0,0,151,-16,0
77,6,0,0,0,155,-13,0
77,7,0,0,-8,147,-13,0
77,8,0,0,-10,155,0,0
78,1,0,0,0,145,-16,0
78,2,0,0,0,157,-5,0
78,3,0,0,-20,136,-12,0
78,4,0,0,-13,143,-4,0
78,5,0,0,-14,153,0,0
78,6,0,0,0,164,-5,0
78,7,0,5,-23,140,0,0
78,8,0,6,-4,141,-12,0
79,1,0,0,-25,126,0,0
79,2,0,0,-19,149,0,0
79,3,0,0,-8,142,-12,0
79,4,0,6,-7,134,-15,0
79,5,0,0,0,150,0,0
79,6,0,0,0,153,-9,0
79,7,0,0,0,163,-5,0
79,8,0,0,0,149,-19,0
80,1,0,0,-11,92,-6,0
80,2,0,3,-13,123,-23,0
80,3,0,0,-21,115,-24,0
80,4,0,0,-28,140,0,0
80,5,0,0,-20,138,-12,0
80,6,0,5,-14,129,-21,0
80,7,0,0,-27,137,0,0
80,8,0,0,-9,123,-29,0
81,1,0,0,-14,86,0,0
81,2,0,0,-31,131,0,0
81,3,0,0,-16,134,-12,0
81,4,0,0,-5,157,0,0
81,5,0,0,-6,130,-26,0
81,6,0,0,-24,145,0,0
81,7,0,0,-14,127,-20,0
81,8,0,0,-18,109,0,0
82,1,0,0,-15,119,-4,0
82,2,0,0,-8,128,0,0
82,3,0,0,-23,145,0,0
82,4,0,0,-14,147,0,0
82,5,0,0,-19,149,0,0
82,6,0,0,-21,135,-4,0
82,7,0,0,-21,136,-4,0
82,8,0,2,0,144,-15,0
83,1,0,0,-17,133,0,0
83,2,0,0,-4,143,-4,0
83,3,0,0,-9,148,-4,0
83,4,0,0,-18,144,0,0
83,5,0,0,-9,148,-4,0
83,6,0,0,-4,154,-9,0
83,7,0,0,-18,143,0,0
83,8,0,4,-18,121,-11,0
84,1,0,0,-14,154,0,0
84,2,0,0,-4,141,-4,0
84,3,0,0,0,157,-5,0
84,4,0,0,0,161,0,0
84,5,0,0,-4,152,-4,0
84,6,0,0,-5,160,0,0
84,7,0,0,-13,141,0,0
84,8,0,0,-13,141,0,0
85,1,0,0,-14,148,0,0
85,2,0,0,-14,147,0,0
85,3,0,0,-4,152,-4,0
85,4,0,0,0,157,-5,0
85,5,0,0,0,156,-5,0
85,6,0,0,0,157,-5,0
85,7,0,0,0,157,-5,0
85,8,0,0,-13,146,-9,0
86,1,0,0,0,161,0,0
86,2,0,6,-15,130,-11,0
86,3,0,0,-19,131,-12,0
86,4,0,0,-17,140,-4,0
86,5,0,0,0,146,-16,0
86,6,0,0,-22,141,-4,0
86,7,0,0,-13,144,-4,0
86,8,0,0,0,153,-9,0
87,1,0,4,-8,138,-12,0
87,2,0,0,-17,121,-17,0
87,3,0,0,-9,151,0,0
87,4,0,0,-21,138,-8,0
87,5,0,0,-5,157,0,0
87,6,0,0,-20,133,-8,0
87,7,0,0,-14,148,0,0
87,8,0,0,-16,129,-4,0
88,1,0,0,-19,98,0,0
88,2,0,0,-16,125,0,0
88,3,0,0,-19,151,0,0
88,4,0,0,-20,133,-8,0
88,5,0,0,-20,138,-12,0
88,6,0,0,-28,140,0,0
88,7,0,0,-23,139,0,0
88,8,0,0,-16,137,-8,0
89,1,0,0,-11,82,-17,0
89,2,0,0,-24,145,0,0
89,3,0,0,-10,130,-21,0
89,4,0,0,-5,163,0,0
89,5,0,0,-10,129,-26,0
89,6,0,0,-23,145,0,0
89,7,0,0,-10,128,-23,0
89,8,0,0,-19,116,0,0
90,1,0,0,-17,115,-13,0
90,2,0,0,-22,113,0,0
90,3,0,0,-23,139,0,0
90,4,0,0,-26,124,-11,0
90,5,0,0,-18,143,0,0
90,6,0,0,-5,157,0,0
90,7,0,0,-14,148,0,0
90,8,0,0,-5,158,-5,0
91,1,0,0,-15,118,0,0
91,2,0,0,-18,143,0,0
91,3,0,0,-26,124,-11,0
91,4,0,0,-12,140,-8,0
91,5,0,0,-13,147,-9,0
91,6,0,0,-5,152,-5,0
